feature,split,gain,total,null_imp,total_null
f002_flux_norm1_mean,0.07084675127865125,0.026920115889381244,0.0977668671680325,0.0592556759048367,0.0385111912631958
f014_d1_flux_norm3_max,0.0430952831975753,0.005390724038242868,0.04848600723581817,0.011106216359142091,0.037379790876676075
f017_pb3_lumi_std-d-mean,0.05256677401022921,0.12794858427525388,0.1805153582854831,0.14334302290022274,0.03717233538526035
f003_pb2_flux_skew,0.0639325629854139,0.003706437174351425,0.06763900015976533,0.030563511061288687,0.03707548909847665
f003_pb1_lumi_q75,0.0430952831975753,0.05472070309348009,0.0978159862910554,0.06176426661124153,0.03605171967981387
f003_pb2_lumi_q10-d-pb5_lumi_q10,0.07842394392877439,0.11479354220526948,0.19321748613404388,0.1577446012463251,0.03547288488771877
f002_flux_norm1_std,0.1026709604091684,0.003638067250505465,0.10630902765967387,0.07217990427373626,0.03412912338593761
f003_pb2_flux_norm1_min-d-pb5_flux_norm1_min,0.0987876491759803,0.005524346513790388,0.10431199568977068,0.07038897017030568,0.033923025519464994
f002_flux_by_flux_ratio_sq_max-m-min-d-mean,0.11905663951505968,0.0346586235453811,0.15371526306044078,0.12063109085982245,0.033084172200618336
f003_pb1_lumi_max-d-min-d-pb3_lumi_max-d-min,0.034192081833680624,0.14897327834101054,0.18316536017469115,0.15074029756426055,0.0324250626104306
f003_pb2_lumi_max-d-min,0.09206289069899602,0.00825348629286935,0.10031637699186537,0.06878079989655038,0.03153557709531499
f003_pb0_flux_ratio_sq_mean-d-pb5_flux_ratio_sq_mean,0.06971017238113279,0.0515408111065579,0.1212509834876907,0.09058538711346227,0.03066559637422843
f003_pb1_lumi_max-d-pb4_lumi_max,0.03400265201742754,0.054784551150641264,0.0887872031680688,0.06090017417275071,0.027887028995318093
f003_pb1_lumi_q75-d-pb5_lumi_q75,0.07463534760371282,0.048874720464028264,0.12351006806774108,0.09605278444170197,0.02745728362603911
f003_pb0_lumi_mean-d-pb2_lumi_mean,0.08372797878386057,0.0627268555644652,0.1464548343483258,0.1191994078468564,0.027255426501469393
f013_lumi_q90-m-q10,0.033907937109301005,0.04475173814767061,0.07865967525697162,0.051472896586545164,0.02718677867042646
f014_d1_lumi_q90,0.027656753172949418,0.014495351350701747,0.04215210452365117,0.015938018435772066,0.0262140860878791
f003_pb2_lumi_q90,0.06402727789354044,0.012475900505337513,0.07650317839887796,0.0505409675616564,0.025962210837221562
f003_pb1_flux_norm2_q75-m-q25,0.06137526046599735,0.0033494024454528122,0.06472466291145015,0.03877368372309503,0.025950979188355122
f015_pb1_d0_lumi_max-m-min,0.0300246258761129,0.05494485278040229,0.08496947865651519,0.0593381656784179,0.025631312978097287
f003_pb2_flux_norm1_q90-m-q10,0.09945065353286607,0.01080092126122034,0.1102515747940864,0.08488239568203773,0.025369179112048668
f003_pb1_lumi_q90-m-q10,0.07596135631748438,0.022020350748735512,0.09798170706621988,0.07339057292220143,0.02459113414401845
f027_lumi_q10,0.03996969122939952,0.014720852745258556,0.05469054397465807,0.03165750340760267,0.0230330405670554
f003_pb0_lumi_std-d-pb3_lumi_std,0.08334911915135443,0.03343460043972677,0.1167837195910812,0.09379217341173557,0.022991546179345637
f003_pb1_lumi_std-d-pb3_lumi_std,0.03561280545557871,0.08701580707651016,0.12262861253208887,0.1003248544247329,0.022303758107355964
f014_d1_flux_norm3_max-d-min,0.0479257435120288,0.04525671098347806,0.09318245449550686,0.07108685546900434,0.022095599026502516
f013_flux_by_flux_ratio_sq_std-d-mean,0.09547262739155143,0.04594820971141534,0.14142083710296674,0.11942706374670208,0.021993773356264665
f013_lumi_std-d-mean,0.099261223716613,0.03944085444121917,0.13870207815783214,0.1167592511900978,0.02194282696773435
f015_pb2_d0_lumi_std,0.01060806971017238,0.04077567589046403,0.05138374560063641,0.029649220776222576,0.021734524824413834
f003_pb2_flux_q90-m-q10,0.028698617162341355,0.0795060500973823,0.10820466725972366,0.08721428612342018,0.020990381136303485
f013_lumi_max-m-min,0.045747300625118385,0.02370163894520621,0.06944893957032461,0.04908339677169294,0.020365542798631668
f017_pb0_lumi_q75-d-pb5_lumi_q75,0.0687630232998674,0.03956968800816391,0.10833271130803132,0.08820870690086703,0.02012400440716429
f013_lumi_q90,0.02273157795036939,0.01138257413828074,0.03411415208865013,0.014394083341126703,0.019720068747523425
f003_pb3_flux_norm3_skew,0.08297025951884826,0.004222423662240556,0.08719268318108883,0.06763017415814923,0.0195625090229396
f014_d1_lumi_mean,0.03059291532487213,0.005862701283423229,0.03645561660829536,0.018417823242811663,0.0180377933654837
f003_pb0_lumi_max-m-min,0.041011555218791435,0.023944335859606692,0.06495589107839812,0.048565820882133966,0.016390070196264157
f015_pb5_d1_flux_norm1_q90,0.06251183936351581,0.04729664707512291,0.10980848643863872,0.09355940051422618,0.016249085924412543
f003_pb2_lumi_q75-m-q25,0.038548967607501435,0.01696763507207034,0.05551660267957177,0.03927121251438631,0.01624539016518546
f003_pb0_flux_by_flux_ratio_sq_q75-m-q25-d-pb5_flux_by_flux_ratio_sq_q75-m-q25,0.034570941466186784,0.13847674181587594,0.17304768328206274,0.15707948647852973,0.015968196803533008
f002_lumi_skew,0.09556734229967798,0.014221012281384502,0.10978835458106248,0.09523007571467954,0.014558278866382945
f002_flux_by_flux_ratio_sq_median,0.040064406137526036,0.0452207067085985,0.08528511284612454,0.07219393340589292,0.013091179440231623
f017_pb2_flux_by_flux_ratio_sq_median,0.11754120098503505,0.002223874535956712,0.11976507552099175,0.10689863147651314,0.012866444044478606
f014_d1_lumi_q90-m-q10,0.038548967607501435,0.010230841650868731,0.048779809258370166,0.036015935692667984,0.012763873565702182
f003_pb2_flux_min-d-pb5_flux_min,0.15097556355370334,0.009146759240655972,0.16012232279435934,0.14845511659956234,0.011667206194796997
f003_pb2_flux_norm1_skew,0.06137526046599735,0.003939792564341694,0.06531505303033902,0.05368665373965672,0.011628399290682302
f027_lumi_mean,0.021879143777230537,0.004309398131034358,0.026188541908264897,0.014596558265677274,0.011591983642587622
f003_pb0_lumi_std,0.03106648986550483,0.02616609072117395,0.05723258058667877,0.04581493683002768,0.011417643756651094
f003_pb2_lumi_q75,0.03798067815874219,0.021670010807062653,0.05965068896580485,0.04838019391830613,0.011270495047498726
f014_d1_flux_norm3_q10,0.04735745406326956,0.026664737021697103,0.07402219108496666,0.06276446472745346,0.011257726357513195
f027_lumi_median,0.023110437582875544,0.017522376056404457,0.04063281363928,0.02942327393048044,0.011209539708799562
fbk1-006_pb0_flux_mean,0.03722295889372988,0.02494490904545529,0.062167867939185176,0.051153929793779966,0.01101393814540521
